Date,Price,Open,High,Low,Vol.,Change %
11/02/2023,0.9413,0.9462,0.9464,0.9373,,-0.49%
11/01/2023,0.9459,0.9457,0.9509,0.9451,,0.07%
10/31/2023,0.9452,0.9420,0.9474,0.9367,,0.35%
10/30/2023,0.9419,0.9464,0.9481,0.9411,,-0.46%
10/27/2023,0.9463,0.9471,0.9492,0.9436,,-0.03%
10/26/2023,0.9466,0.9461,0.9504,0.9456,,0.03%
10/25/2023,0.9463,0.9442,0.9466,0.9427,,0.23%
10/24/2023,0.9441,0.9373,0.9450,0.9351,,0.76%
10/23/2023,0.9370,0.9439,0.9460,0.9365,,-0.72%
10/20/2023,0.9438,0.9451,0.9466,0.9430,,-0.10%
10/19/2023,0.9447,0.9492,0.9499,0.9419,,-0.44%
10/18/2023,0.9489,0.9456,0.9503,0.9438,,0.38%
10/17/2023,0.9453,0.9470,0.9495,0.9438,,-0.16%
10/16/2023,0.9468,0.9517,0.9517,0.9467,,-0.46%
10/13/2023,0.9512,0.9499,0.9528,0.9470,,0.16%
10/12/2023,0.9497,0.9414,0.9500,0.9398,,0.87%
10/11/2023,0.9415,0.9430,0.9452,0.9402,,-0.14%
10/10/2023,0.9428,0.9463,0.9475,0.9416,,-0.36%
10/09/2023,0.9462,0.9467,0.9507,0.9456,,0.19%
10/06/2023,0.9444,0.9478,0.9539,0.9434,,-0.35%
10/05/2023,0.9477,0.9516,0.9524,0.9477,,-0.42%
10/04/2023,0.9517,0.9551,0.9568,0.9493,,-0.37%
10/03/2023,0.9552,0.9545,0.9571,0.9528,,0.10%
10/02/2023,0.9542,0.9463,0.9546,0.9441,,0.90%
09/29/2023,0.9457,0.9464,0.9472,0.9419,,-0.11%
09/28/2023,0.9467,0.9521,0.9532,0.9452,,-0.56%
09/27/2023,0.9520,0.9462,0.9535,0.9456,,0.67%
09/26/2023,0.9457,0.9440,0.9469,0.9424,,0.19%
09/25/2023,0.9439,0.9385,0.9457,0.9384,,0.59%
09/22/2023,0.9384,0.9381,0.9421,0.9370,,0.05%
09/21/2023,0.9379,0.9381,0.9420,0.9367,,0.01%
09/20/2023,0.9378,0.9362,0.9390,0.9312,,0.17%
09/19/2023,0.9362,0.9357,0.9369,0.9330,,0.12%
09/18/2023,0.9351,0.9378,0.9385,0.9347,,-0.33%
09/15/2023,0.9382,0.9399,0.9405,0.9355,,-0.13%
09/14/2023,0.9394,0.9320,0.9406,0.9300,,0.79%
09/13/2023,0.9320,0.9299,0.9336,0.9289,,0.26%
09/12/2023,0.9296,0.9301,0.9341,0.9286,,-0.05%
09/11/2023,0.9301,0.9333,0.9340,0.9294,,-0.46%
09/08/2023,0.9344,0.9348,0.9352,0.9307,,0.01%
09/07/2023,0.9343,0.9323,0.9358,0.9317,,0.24%
09/06/2023,0.9321,0.9327,0.9344,0.9302,,0.02%
09/05/2023,0.9319,0.9262,0.9340,0.9259,,0.59%
09/04/2023,0.9264,0.9279,0.9283,0.9251,,-0.16%
09/01/2023,0.9279,0.9225,0.9284,0.9189,,0.63%
08/31/2023,0.9221,0.9153,0.9230,0.9140,,0.76%
08/30/2023,0.9151,0.9191,0.9212,0.9136,,-0.41%
08/29/2023,0.9189,0.9247,0.9275,0.9180,,-0.56%
08/28/2023,0.9241,0.9258,0.9265,0.9240,,-0.16%
08/25/2023,0.9256,0.9251,0.9289,0.9223,,0.09%
08/24/2023,0.9248,0.9205,0.9255,0.9194,,0.46%
08/23/2023,0.9206,0.9219,0.9258,0.9197,,-0.13%
08/22/2023,0.9218,0.9180,0.9232,0.9148,,0.42%
08/21/2023,0.9179,0.9193,0.9201,0.9162,,-0.22%
08/18/2023,0.9199,0.9198,0.9222,0.9179,,0.04%
08/17/2023,0.9195,0.9194,0.9212,0.9158,,0.04%
08/16/2023,0.9191,0.9168,0.9199,0.9144,,0.24%
08/15/2023,0.9169,0.9169,0.9177,0.9129,,0.01%
08/14/2023,0.9168,0.9130,0.9196,0.9123,,0.37%
08/11/2023,0.9134,0.9107,0.9139,0.9086,,0.32%
08/10/2023,0.9105,0.9111,0.9118,0.9037,,-0.05%
08/09/2023,0.9110,0.9128,0.9131,0.9094,,-0.18%
08/08/2023,0.9126,0.9089,0.9151,0.9081,,0.46%
08/07/2023,0.9084,0.9076,0.9120,0.9075,,0.03%
08/04/2023,0.9081,0.9136,0.9146,0.9056,,-0.58%
08/03/2023,0.9134,0.9143,0.9165,0.9121,,-0.08%
08/02/2023,0.9141,0.9105,0.9160,0.9074,,0.43%
08/01/2023,0.9102,0.9095,0.9131,0.9087,,0.10%
07/31/2023,0.9093,0.9072,0.9097,0.9053,,0.18%
07/28/2023,0.9077,0.9109,0.9138,0.9051,,-0.36%
07/27/2023,0.9110,0.9025,0.9119,0.8968,,1.00%
07/26/2023,0.9020,0.9047,0.9060,0.9003,,-0.27%
07/25/2023,0.9044,0.9038,0.9074,0.9019,,0.08%
07/24/2023,0.9037,0.8988,0.9042,0.8971,,0.53%
07/21/2023,0.8989,0.8982,0.9003,0.8972,,0.07%
07/20/2023,0.8983,0.8928,0.8995,0.8905,,0.63%
07/19/2023,0.8927,0.8907,0.8949,0.8896,,0.24%
07/18/2023,0.8906,0.8900,0.8922,0.8868,,0.09%
07/17/2023,0.8898,0.8901,0.8926,0.8889,,-0.07%
07/14/2023,0.8904,0.8907,0.8926,0.8892,,-0.02%
07/13/2023,0.8906,0.8984,0.8986,0.8906,,-0.86%
07/12/2023,0.8983,0.9083,0.9088,0.8976,,-1.10%
07/11/2023,0.9083,0.9090,0.9111,0.9068,,-0.06%
07/10/2023,0.9088,0.9115,0.9138,0.9089,,-0.30%
07/07/2023,0.9115,0.9185,0.9202,0.9112,,-0.73%
07/06/2023,0.9182,0.9214,0.9230,0.9173,,-0.31%
07/05/2023,0.9211,0.9193,0.9216,0.9167,,0.23%
07/04/2023,0.9190,0.9165,0.9194,0.9160,,0.29%
07/03/2023,0.9163,0.9165,0.9200,0.9146,,0.00%
06/30/2023,0.9163,0.9205,0.9230,0.9147,,-0.41%
06/29/2023,0.9201,0.9164,0.9208,0.9139,,0.43%
06/28/2023,0.9162,0.9123,0.9178,0.9121,,0.44%
06/27/2023,0.9122,0.9166,0.9172,0.9110,,-0.50%
06/26/2023,0.9168,0.9178,0.9185,0.9157,,-0.13%
06/23/2023,0.9180,0.9126,0.9222,0.9125,,0.60%
06/22/2023,0.9125,0.9102,0.9134,0.9081,,0.26%
06/21/2023,0.9101,0.9160,0.9170,0.9098,,-0.62%
06/20/2023,0.9158,0.9155,0.9181,0.9135,,0.04%
06/19/2023,0.9154,0.9139,0.9169,0.9135,,0.15%
06/16/2023,0.9140,0.9137,0.9160,0.9115,,0.05%
06/15/2023,0.9135,0.9233,0.9257,0.9129,,-1.02%
06/14/2023,0.9229,0.9266,0.9282,0.9204,,-0.38%
06/13/2023,0.9264,0.9298,0.9298,0.9238,,-0.33%
06/12/2023,0.9295,0.9301,0.9317,0.9267,,-0.06%
06/09/2023,0.9301,0.9275,0.9309,0.9271,,0.31%
06/08/2023,0.9272,0.9347,0.9349,0.9270,,-0.78%
06/07/2023,0.9345,0.9352,0.9374,0.9311,,-0.06%
06/06/2023,0.9351,0.9334,0.9375,0.9316,,0.20%
06/05/2023,0.9332,0.9336,0.9369,0.9326,,-0.05%
06/02/2023,0.9337,0.9291,0.9342,0.9277,,0.51%
06/01/2023,0.9290,0.9355,0.9380,0.9286,,-0.67%
05/31/2023,0.9353,0.9315,0.9403,0.9313,,0.42%
05/30/2023,0.9314,0.9340,0.9370,0.9305,,-0.26%
05/29/2023,0.9338,0.9323,0.9341,0.9307,,0.16%
05/26/2023,0.9323,0.9327,0.9345,0.9294,,-0.03%
05/25/2023,0.9326,0.9302,0.9340,0.9296,,0.27%
05/24/2023,0.9301,0.9283,0.9305,0.9258,,0.18%
05/23/2023,0.9284,0.9249,0.9294,0.9241,,0.41%
05/22/2023,0.9246,0.9247,0.9263,0.9232,,-0.09%
05/19/2023,0.9254,0.9284,0.9294,0.9234,,-0.30%
05/18/2023,0.9282,0.9225,0.9292,0.9218,,0.64%
05/17/2023,0.9223,0.9207,0.9251,0.9196,,0.21%
05/16/2023,0.9204,0.9197,0.9212,0.9169,,0.10%
05/15/2023,0.9195,0.9212,0.9222,0.9182,,-0.22%
05/12/2023,0.9215,0.9162,0.9219,0.9143,,0.62%
05/11/2023,0.9158,0.9107,0.9175,0.9092,,0.59%
05/10/2023,0.9104,0.9123,0.9140,0.9085,,-0.19%
05/09/2023,0.9121,0.9086,0.9140,0.9086,,0.41%
05/08/2023,0.9084,0.9064,0.9092,0.9046,,0.11%
05/05/2023,0.9074,0.9081,0.9118,0.9051,,-0.06%
05/04/2023,0.9079,0.9042,0.9103,0.9015,,0.44%
05/03/2023,0.9039,0.9092,0.9092,0.9015,,-0.54%
05/02/2023,0.9088,0.9114,0.9140,0.9083,,-0.22%
05/01/2023,0.9108,0.9061,0.9121,0.9060,,0.41%
04/28/2023,0.9071,0.9067,0.9122,0.9054,,0.07%
04/27/2023,0.9065,0.9057,0.9097,0.9039,,0.11%
04/26/2023,0.9055,0.9114,0.9118,0.9012,,-0.64%
04/25/2023,0.9113,0.9053,0.9121,0.9036,,0.65%
04/24/2023,0.9054,0.9099,0.9119,0.9049,,-0.48%
04/21/2023,0.9098,0.9115,0.9143,0.9096,,-0.19%
04/20/2023,0.9115,0.9128,0.9147,0.9099,,-0.13%
04/19/2023,0.9127,0.9114,0.9161,0.9104,,0.16%
04/18/2023,0.9112,0.9154,0.9157,0.9104,,-0.43%
04/17/2023,0.9151,0.9100,0.9167,0.9090,,0.69%
04/14/2023,0.9088,0.9056,0.9114,0.9028,,0.38%
04/13/2023,0.9054,0.9097,0.9111,0.9035,,-0.47%
04/12/2023,0.9097,0.9165,0.9165,0.9090,,-0.71%
04/11/2023,0.9162,0.9205,0.9211,0.9151,,-0.48%
04/10/2023,0.9206,0.9173,0.9233,0.9159,,0.36%
04/07/2023,0.9173,0.9156,0.9194,0.9153,,0.22%
04/06/2023,0.9153,0.9170,0.9188,0.9142,,-0.16%
04/05/2023,0.9168,0.9130,0.9183,0.9116,,0.43%
04/04/2023,0.9129,0.9177,0.9189,0.9112,,-0.51%
04/03/2023,0.9176,0.9219,0.9270,0.9160,,-0.51%
03/31/2023,0.9223,0.9169,0.9228,0.9152,,0.58%
03/30/2023,0.9170,0.9222,0.9240,0.9151,,-0.53%
03/29/2023,0.9219,0.9221,0.9245,0.9198,,-0.02%
03/28/2023,0.9221,0.9262,0.9264,0.9217,,-0.42%
03/27/2023,0.9260,0.9288,0.9307,0.9259,,-0.33%
03/24/2023,0.9291,0.9234,0.9334,0.9226,,0.66%
03/23/2023,0.9230,0.9212,0.9239,0.9148,,0.23%
03/22/2023,0.9209,0.9287,0.9295,0.9163,,-0.80%
03/21/2023,0.9283,0.9326,0.9342,0.9269,,-0.46%
03/20/2023,0.9326,0.9348,0.9406,0.9319,,-0.49%
03/17/2023,0.9372,0.9426,0.9430,0.9358,,-0.57%
03/16/2023,0.9426,0.9454,0.9478,0.9402,,-0.29%
03/15/2023,0.9453,0.9317,0.9510,0.9294,,1.46%
03/14/2023,0.9317,0.9319,0.9365,0.9302,,0.00%
03/13/2023,0.9317,0.9392,0.9392,0.9302,,-0.82%
03/10/2023,0.9394,0.9450,0.9458,0.9344,,-0.57%
03/09/2023,0.9448,0.9483,0.9490,0.9441,,-0.34%
